battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range
1327,0,2.8,0,10,0,23,0.5,89,7,16,441,1721.0,872.0,7,5,4,1,1,1,0
1296,0,1.4,1,3,0,11,0.2,129,7,4,1222,1382.0,,19,8,10,1,1,1,1
1322,0,2.3,1,1,1,35,0.1,157,1,3,443,708.0,3684.0,15,8,6,1,0,0,1
555,1,0.5,1,2,0,17,0.2,163,5,12,956,1010.0,1.0,19,14,3,0,1,1,1
571,0,0.6,0,1,1,43,0.5,141,3,8,224,783.0,2587.0,7,5,18,1,0,0,1
852,1,1.6,1,6,1,54,0.4,147,5,7,538,730.0,1275.0,13,7,12,1,0,1,0
987,1,1.9,0,4,1,52,0.5,83,3,8,419,736.0,2757.0,17,12,15,1,1,0,1
856,0,,1,0,1,14,0.6,115,1,7,395,1027.0,2439.0,6,3,12,1,1,1,0
772,1,2.4,1,1,1,10,0.5,80,4,2,1242,1712.0,3242.0,18,11,4,1,1,0,1
668,0,2.3,0,2,1,48,0.3,114,1,19,195,1292.0,1.0,14,12,4,1,1,0,0
916,1,2.6,0,0,0,36,0.3,195,4,12,188,992.0,1470.0,13,0,14,0,1,0,0
1329,1,1.0,0,1,0,52,0.9,181,6,2,1053,,1228.0,8,6,6,1,0,1,0
1807,1,2.1,0,2,0,49,0.8,125,1,10,337,1384.0,1.0,17,13,13,0,1,1,1
1996,1,,1,0,1,7,0.1,138,5,4,937,1083.0,1.0,17,14,16,1,0,0,0
1800,1,3.0,0,5,0,53,0.3,87,1,12,191,1108.0,656.0,14,10,18,0,0,1,0
1278,1,,0,10,1,60,0.6,172,7,14,1244,,3142.0,11,4,19,1,0,1,1
1576,0,2.6,0,7,0,58,0.2,90,3,16,400,631.0,336.0,14,8,13,1,1,1,0
523,0,2.6,1,1,0,14,0.1,155,8,2,304,,1.0,9,1,9,0,1,0,0
1526,0,2.1,0,1,1,23,0.2,117,7,8,718,751.0,2227.0,18,10,3,1,1,0,1
987,0,1.3,1,0,1,61,0.4,107,3,9,581,820.0,1.0,9,4,20,1,0,1,1
951,0,0.5,0,6,1,15,0.6,81,2,17,854,935.0,1083.0,16,11,16,1,1,0,0
1522,0,2.2,0,4,0,21,0.7,162,6,11,533,1696.0,1.0,15,9,16,0,0,1,1
1137,1,1.0,0,18,0,7,1.0,196,3,19,942,1179.0,3616.0,13,5,12,1,1,1,1
1949,0,1.3,1,0,0,23,0.1,101,5,1,839,1136.0,2478.0,14,8,20,1,0,0,1
1615,1,2.8,0,3,0,9,0.9,117,1,13,542,678.0,2948.0,8,3,3,1,1,0,1
530,1,2.6,0,1,0,40,0.9,118,6,2,818,1090.0,1.0,16,11,2,0,1,0,0
666,1,0.5,1,7,1,54,0.4,81,3,13,58,1353.0,1254.0,15,9,9,1,1,1,0
1512,1,1.7,0,12,0,6,0.7,162,7,17,205,884.0,1.0,15,7,7,1,1,1,1
835,0,1.1,1,2,0,7,0.2,101,4,7,323,1604.0,1181.0,13,5,15,1,1,1,0
1528,0,2.4,0,2,0,37,0.2,156,8,3,306,564.0,1.0,15,0,14,1,1,0,0
1062,1,2.5,1,6,0,10,0.9,160,1,13,1596,1807.0,3803.0,7,3,16,0,0,1,1
1063,0,1.4,1,2,1,48,1.0,128,5,4,127,683.0,2910.0,15,13,9,1,1,1,1
1973,1,2.4,1,6,0,46,0.1,193,4,10,699,851.0,639.0,6,0,3,0,0,1,0
1791,1,0.5,1,1,1,33,0.5,110,5,4,371,682.0,,17,8,16,1,0,1,0
798,0,,0,5,0,4,0.2,96,3,9,526,643.0,2965.0,15,7,14,1,1,0,1
1021,1,0.5,1,0,1,53,0.7,136,3,6,905,1988.0,2631.0,17,3,7,1,1,0,1
1278,1,1.0,0,7,1,24,0.8,170,3,16,1352,1775.0,3141.0,6,2,11,1,1,1,1
501,0,2.3,0,12,1,54,0.3,131,4,19,504,1089.0,2346.0,13,12,2,1,0,1,0
986,1,0.8,0,13,1,28,0.8,182,4,20,199,679.0,1149.0,8,7,18,1,1,0,0
1809,0,0.5,0,6,0,23,0.7,123,6,19,433,1661.0,2784.0,12,6,20,1,1,1,1
1271,1,0.5,0,12,0,32,0.1,113,7,15,1350,1949.0,1.0,15,14,14,0,0,1,0
1172,0,1.9,0,0,1,27,0.7,164,1,3,607,1092.0,1477.0,12,0,6,1,0,0,0
1635,0,2.6,1,0,1,2,0.6,182,4,0,1209,1411.0,2315.0,10,1,2,1,1,0,1
1201,1,0.5,0,2,0,10,1.0,99,7,7,306,558.0,1.0,15,6,14,1,1,1,0
510,0,1.7,1,3,0,35,0.8,120,3,6,382,1228.0,2509.0,17,2,11,0,1,1,0
1277,1,0.5,1,0,1,35,0.4,142,6,6,309,1460.0,1.0,18,17,6,1,1,0,1
539,0,2.0,1,1,0,24,0.5,86,4,2,958,967.0,1326.0,7,4,3,1,1,0,0
1843,0,2.8,0,1,1,62,0.8,104,3,7,21,832.0,3899.0,5,4,6,1,0,1,1
1606,0,1.4,0,3,0,57,0.1,154,4,4,1127,1924.0,1.0,13,8,20,0,0,1,1
729,1,2.0,0,0,0,14,0.6,135,6,2,563,1055.0,1.0,19,15,17,1,0,1,1
1558,1,,0,0,1,27,0.1,146,1,1,120,1409.0,,9,2,12,1,0,1,1
1197,1,0.5,1,9,0,20,0.1,129,5,10,214,1710.0,,19,7,14,1,1,1,1
1239,0,1.2,1,5,1,52,0.9,122,2,10,590,661.0,417.0,8,0,6,1,0,1,0
1265,0,1.5,0,7,0,49,0.7,182,5,16,690,836.0,1362.0,5,0,12,0,0,1,0
959,1,2.6,1,15,0,20,1.0,84,4,19,561,1631.0,3965.0,16,1,6,1,0,0,1
822,1,,0,0,1,51,0.3,157,6,20,667,860.0,1.0,10,1,3,1,0,0,1
772,0,2.6,1,7,0,6,0.1,100,2,10,741,1471.0,929.0,13,6,18,0,1,1,1
999,0,,1,11,1,56,1.0,165,4,13,342,1641.0,3083.0,8,4,11,1,1,1,1
1554,0,2.8,1,7,0,23,0.1,105,6,18,699,1492.0,1.0,13,9,20,1,0,1,1
1547,1,2.9,0,2,0,57,0.4,114,1,3,347,957.0,1620.0,9,2,19,0,1,1,0
743,0,,1,0,1,33,0.3,95,2,1,1587,1659.0,316.0,19,10,4,1,0,0,0
1842,1,2.2,1,7,0,56,0.4,179,4,10,783,,3721.0,16,11,4,0,1,1,1
1768,1,2.0,0,0,1,2,0.8,88,7,2,1303,1814.0,1.0,9,6,5,1,1,0,1
1820,1,1.7,1,0,1,64,0.6,161,1,3,1157,1951.0,1.0,10,2,18,1,1,0,0
1159,0,2.7,0,13,1,28,0.2,80,8,18,378,751.0,2495.0,10,0,9,1,1,1,1
1563,0,,0,0,1,24,0.2,170,8,0,142,1699.0,1.0,7,5,5,1,1,0,1
924,0,0.5,1,0,1,47,0.3,167,8,6,108,1813.0,1620.0,17,15,12,1,0,0,0
1571,0,2.9,0,1,0,30,0.9,150,7,3,805,,1.0,10,9,4,0,1,1,0
962,0,1.0,1,14,0,2,0.9,125,1,20,1618,1916.0,,16,2,14,1,0,0,0
1439,0,0.9,0,12,1,20,0.8,147,1,17,626,932.0,1790.0,19,12,15,1,0,1,0
1564,0,1.4,0,5,1,26,0.1,129,6,16,117,1115.0,3742.0,13,3,13,1,1,0,1
1646,1,2.3,0,8,1,41,0.2,185,2,10,1725,1932.0,3339.0,18,10,19,1,1,0,1
1451,1,0.5,0,5,1,57,0.6,181,8,12,812,1456.0,3038.0,15,7,18,1,0,1,1
1312,0,1.3,0,5,1,10,0.6,163,2,9,95,893.0,3941.0,6,2,13,1,1,1,1
520,0,2.3,0,0,1,31,0.8,145,6,14,264,519.0,2753.0,13,7,17,1,0,1,0
1755,1,1.3,0,0,1,24,0.1,134,7,2,286,1075.0,3937.0,8,1,7,1,0,1,1
1067,0,1.8,1,11,0,14,0.2,146,1,15,965,1009.0,966.0,5,0,13,0,0,1,0
1144,1,1.5,1,0,0,21,0.4,189,1,11,159,724.0,,16,0,8,0,0,0,1
915,1,,1,9,1,33,0.3,450,2,16,503,986.0,2156.0,7,3,13,1,1,0,0
1545,0,,1,15,1,35,0.1,173,5,20,115,1352.0,3197.0,14,9,6,1,0,1,1
1225,0,0.7,1,0,1,2,0.6,138,7,1,217,,1.0,12,11,15,1,1,0,1
514,1,2.9,1,5,0,18,0.7,141,2,8,1083,,980.0,13,7,16,0,0,1,0
1210,1,1.6,1,9,0,57,0.5,111,4,20,329,1039.0,1886.0,16,0,17,1,0,1,0
1851,0,,0,0,0,53,0.7,112,6,2,174,,1.0,6,0,8,1,0,0,1
1524,1,1.8,1,0,0,10,0.6,174,4,1,154,550.0,1.0,16,5,13,1,0,1,1
1328,1,0.5,0,5,1,27,0.3,144,3,18,602,,2674.0,7,2,5,1,0,1,1
618,0,0.6,0,8,0,16,0.2,143,1,14,1105,1602.0,1.0,16,15,4,0,1,0,1
1066,0,0.6,0,2,1,7,0.9,114,7,18,1242,1571.0,1.0,19,13,6,1,1,0,0
768,0,0.5,1,0,0,19,0.9,159,2,1,637,991.0,,19,1,7,0,0,1,0
1515,0,2.6,0,0,1,56,0.9,184,3,1,1438,1593.0,1.0,14,4,20,1,1,0,0
1745,0,2.9,0,0,1,3,0.9,105,3,0,426,1629.0,1.0,5,0,2,1,1,0,0
1181,0,2.3,0,12,1,61,0.6,116,2,16,385,831.0,2020.0,6,0,18,1,1,0,0
1793,0,0.7,1,11,0,27,0.4,154,5,13,586,722.0,1370.0,16,3,19,1,0,1,0
1077,0,2.5,1,0,1,45,1.0,174,3,4,897,1304.0,1965.0,6,2,6,1,1,0,1
1352,0,2.4,0,5,1,6,0.9,92,6,9,629,1299.0,1.0,12,1,14,1,0,0,0
930,1,0.5,1,3,1,34,0.5,190,4,16,1050,1726.0,1.0,7,2,6,1,0,1,1
1190,1,2.2,1,9,0,47,0.3,186,6,10,1417,1441.0,624.0,9,3,19,1,1,1,0
672,1,0.5,1,0,0,54,0.9,95,4,11,578,,1.0,17,8,14,0,0,0,0
1366,1,1.7,1,5,1,53,0.2,161,5,9,647,1876.0,3869.0,17,5,14,1,0,1,1
904,0,2.7,1,4,0,19,0.6,147,6,7,1094,1496.0,545.0,19,18,16,0,0,0,0
818,0,1.3,0,14,0,43,0.9,177,6,15,111,510.0,1.0,12,6,7,1,1,1,0
1989,1,2.9,1,8,0,17,0.1,193,8,15,629,682.0,2369.0,7,0,18,1,1,0,1
1825,0,1.1,1,13,1,17,0.1,157,4,18,1621,1773.0,3130.0,12,4,2,1,0,1,1
832,0,0.7,1,2,1,39,0.7,103,4,3,125,1504.0,1799.0,5,2,11,1,0,1,0
1897,0,3.0,0,1,1,21,0.5,192,8,2,1311,1935.0,273.0,17,6,3,1,1,1,0
1562,0,0.5,1,1,1,20,0.8,172,8,10,678,1676.0,3465.0,16,11,6,1,1,0,1
1090,0,1.3,1,5,0,27,0.1,91,4,16,1638,1910.0,,5,1,11,0,1,0,1
865,0,1.2,1,8,0,59,0.1,159,3,9,805,1804.0,1.0,16,11,19,1,0,1,1
1325,1,0.5,0,0,1,13,1.0,133,4,8,1353,,3707.0,19,3,18,1,1,0,1
1117,0,0.5,0,1,0,12,0.6,144,7,8,798,817.0,2895.0,7,6,16,1,1,0,1
1379,1,2.1,1,14,1,63,1.0,83,1,17,207,1370.0,651.0,9,6,7,1,1,0,0
956,0,1.9,1,1,0,42,0.1,133,7,11,403,1614.0,1.0,10,0,7,1,1,0,1
831,1,0.7,0,2,1,62,0.7,134,8,9,1482,1490.0,2573.0,16,12,18,1,0,1,1
1433,0,1.6,0,7,0,4,0.7,133,8,11,281,799.0,1.0,11,9,4,1,1,1,0
814,1,1.1,1,2,0,41,0.8,177,2,10,1092,1406.0,1944.0,16,6,12,1,0,0,0
914,1,0.5,0,0,1,26,0.7,147,4,0,706,721.0,1122.0,12,9,2,1,1,1,0
1178,1,,0,0,0,49,0.6,101,5,0,579,596.0,1.0,6,3,17,0,0,0,1
1829,1,0.5,0,0,1,15,0.4,160,5,7,729,1267.0,2080.0,16,11,12,1,0,1,1
807,0,0.5,0,9,0,8,0.3,158,5,20,667,697.0,1284.0,17,13,2,0,1,1,0
1469,0,1.7,1,11,1,44,0.5,169,2,14,484,711.0,1687.0,15,5,5,1,1,1,0
1035,0,0.5,1,14,1,49,0.3,178,2,15,574,1171.0,1.0,12,4,19,1,0,0,1
1448,0,0.5,1,18,0,2,0.2,100,5,19,846,1144.0,593.0,9,4,18,1,1,1,0
1157,1,0.8,0,7,0,27,0.1,88,8,8,1694,1798.0,1.0,8,4,2,1,0,1,1
1441,0,0.6,1,0,1,53,0.5,106,1,12,254,954.0,1393.0,9,4,4,1,1,1,0
932,1,0.5,0,1,1,60,0.7,104,4,2,268,,1459.0,6,1,19,1,1,0,0
1272,1,2.5,1,0,0,22,0.9,133,6,8,605,669.0,2235.0,19,4,4,1,0,0,0
1816,1,1.6,1,0,0,50,0.1,186,5,2,800,1089.0,1.0,11,7,16,0,0,1,1
1133,0,1.4,0,3,0,42,0.1,199,5,12,730,1543.0,1457.0,18,12,20,1,0,1,0
1765,0,1.1,0,3,0,11,0.7,87,2,7,835,1175.0,3695.0,6,5,18,1,0,0,1
1624,0,1.6,1,8,0,28,0.4,150,2,10,689,699.0,,16,11,2,1,0,0,1
1854,0,0.9,1,0,1,33,0.4,195,1,0,665,718.0,1675.0,14,12,9,1,0,1,0
1648,0,0.7,0,6,1,64,0.8,170,4,9,1153,,610.0,8,1,6,1,1,0,1
1436,1,2.4,1,3,1,23,0.3,106,5,4,189,,1.0,8,4,8,1,0,0,1
1652,0,0.6,1,4,1,40,1.0,198,7,6,352,1084.0,,7,6,6,1,0,0,1
512,1,0.5,1,7,0,15,0.9,83,3,15,249,1849.0,2610.0,18,14,15,0,1,1,1
1640,0,0.5,1,1,1,36,0.9,87,8,11,664,1806.0,3235.0,6,1,10,1,0,1,1
1156,1,1.2,1,0,1,50,0.8,159,2,0,322,547.0,470.0,7,0,15,1,1,0,0
1147,0,0.8,1,11,0,28,0.7,158,6,13,1085,1134.0,2627.0,18,3,15,1,0,1,1
1266,0,1.9,1,0,1,7,0.2,184,3,12,346,,2532.0,10,5,4,1,1,1,1
1494,0,1.6,1,4,1,24,0.2,101,1,17,979,1190.0,,15,12,9,1,0,0,1
1640,1,0.7,0,10,1,21,0.8,169,7,14,589,1301.0,337.0,16,3,5,1,1,0,1
510,0,2.6,0,0,0,33,0.1,110,6,10,1052,,1.0,6,2,5,0,1,0,0
1587,1,0.5,0,0,0,50,0.9,148,8,15,299,874.0,1.0,17,4,4,1,0,1,0
1536,0,0.8,0,12,0,13,0.3,105,7,20,22,1634.0,2020.0,6,0,16,1,1,0,1
1092,0,2.7,1,8,0,45,0.8,185,1,10,1404,1424.0,1.0,12,3,20,0,1,1,0
1306,1,,1,2,1,33,0.4,174,3,9,867,,2521.0,6,5,16,1,0,0,1
1464,0,0.5,1,0,1,17,0.7,153,6,8,418,1341.0,1277.0,13,6,19,1,0,0,0
907,0,1.4,1,3,0,42,0.2,151,1,16,171,507.0,1.0,11,9,6,1,0,0,0
1058,0,1.5,0,2,0,19,0.4,166,4,14,493,1247.0,418.0,9,7,16,0,0,1,0
984,1,2.2,1,0,1,39,0.5,119,8,18,56,1931.0,2013.0,11,7,16,1,1,0,0
1350,1,0.5,1,0,1,50,0.8,181,8,4,369,544.0,2287.0,15,1,8,1,1,0,0
719,0,2.9,0,7,0,6,0.7,102,6,8,405,1141.0,1.0,9,1,2,1,0,0,0
1187,1,,0,0,1,46,0.4,145,2,9,1173,1814.0,3917.0,13,11,8,1,0,1,1
1397,0,2.9,1,13,0,9,0.5,87,6,18,1308,1991.0,3137.0,12,1,11,1,1,1,1
1776,0,2.2,0,2,0,20,0.9,82,6,16,1563,1803.0,2671.0,15,10,12,0,1,1,1
1625,1,0.5,1,2,1,50,0.1,107,8,17,8,1219.0,1.0,16,3,8,1,0,0,0
546,1,2.6,1,5,0,26,1.0,159,5,15,416,1658.0,,7,2,3,0,1,0,0
1991,1,1.8,0,11,0,9,0.7,94,3,12,751,,1511.0,17,8,9,0,0,0,0
1517,0,0.5,0,6,1,48,0.6,143,5,14,802,1489.0,2822.0,15,5,11,1,1,1,1
1614,0,1.9,0,8,1,55,0.3,188,3,17,860,,3914.0,17,13,13,1,0,0,1
657,0,2.5,0,0,0,37,0.7,141,2,1,476,,1.0,14,3,18,0,1,0,0
1501,0,1.1,0,12,1,2,0.2,187,1,15,198,1056.0,2487.0,13,12,16,1,1,1,1
614,0,1.7,1,0,1,58,0.2,128,7,2,22,519.0,3487.0,15,6,11,1,1,1,1
1099,0,0.5,0,13,1,61,0.3,146,3,20,393,1096.0,1699.0,17,10,3,1,1,1,0
1936,0,2.1,1,10,1,46,0.6,104,3,20,667,1036.0,,14,7,13,1,0,0,1
1425,1,0.6,0,0,1,33,0.5,89,3,2,396,1648.0,3771.0,10,3,9,1,0,1,1
1179,1,0.8,0,1,0,5,0.9,154,5,17,913,1429.0,1.0,8,7,18,0,0,1,0
1110,0,1.5,0,2,1,12,0.3,153,8,5,961,1950.0,1.0,9,7,15,1,0,0,0
843,0,,1,1,0,16,0.9,119,7,4,593,732.0,1.0,17,8,14,0,0,1,0
721,0,0.5,1,6,1,6,0.4,194,4,9,1446,,530.0,8,4,8,1,0,1,0
673,1,1.9,0,13,1,35,0.4,142,6,14,1096,1570.0,1.0,18,17,4,1,0,1,1
1928,1,1.8,0,9,1,19,1.0,187,3,20,691,1580.0,1.0,7,2,13,1,1,1,1
1497,1,0.9,1,4,1,10,0.1,153,8,20,98,977.0,3696.0,9,0,3,1,0,1,1
1652,1,1.1,1,1,0,36,0.7,89,4,5,313,1264.0,2338.0,12,8,20,0,0,0,1
1891,0,2.8,0,7,1,37,0.4,129,7,14,169,1108.0,3704.0,8,6,11,1,0,0,1
1492,1,,0,5,0,11,0.9,85,3,7,1684,1746.0,2259.0,14,12,19,0,1,1,1
1020,1,0.7,1,3,1,27,0.7,128,4,4,919,,1.0,18,1,9,1,0,1,1
733,0,0.8,0,7,0,16,0.4,138,4,12,202,1787.0,1.0,12,0,19,1,1,0,1
1692,0,2.1,0,4,1,2,0.9,106,1,17,1899,1904.0,3779.0,9,3,7,1,1,1,1
742,1,2.3,0,0,0,21,0.7,104,8,1,875,925.0,1.0,11,8,7,1,0,0,0
912,0,0.5,1,0,0,58,0.3,107,5,1,165,1723.0,3573.0,17,3,20,1,1,0,1
578,1,2.6,1,2,1,57,0.2,162,8,8,1025,,1270.0,15,3,5,1,0,1,0
1656,0,1.0,0,5,1,34,0.1,166,3,7,880,1456.0,1629.0,15,12,14,1,1,0,1
580,1,1.2,1,0,0,47,0.9,91,3,1,1086,,,15,1,11,1,1,0,1
1496,1,2.0,1,4,0,42,0.5,182,5,5,96,741.0,1.0,16,0,7,0,1,1,0
837,0,2.4,1,1,0,51,0.2,104,5,15,638,1831.0,594.0,16,6,20,1,0,1,0
1864,0,2.2,0,0,1,7,0.1,142,1,2,225,1545.0,2258.0,10,1,10,1,0,0,1
1824,1,0.8,0,4,1,19,0.9,143,2,5,1055,1738.0,2381.0,14,1,5,1,0,0,1
527,0,0.7,1,4,0,53,0.9,128,1,11,67,1924.0,1.0,13,7,13,0,0,0,0
1742,1,0.5,1,5,1,43,0.9,176,3,7,356,1407.0,1.0,9,2,3,1,1,0,1
1544,0,2.4,0,18,1,12,0.1,186,7,20,470,844.0,1.0,9,4,2,1,0,1,0
1680,1,1.2,1,6,1,37,0.7,168,4,7,679,1231.0,1459.0,15,3,2,1,1,0,0
1709,1,,0,1,0,13,1.0,156,2,2,974,1385.0,3283.0,17,1,15,1,0,0,1
799,1,2.3,0,1,1,160,0.8,144,8,6,361,975.0,431.0,15,6,6,1,1,1,0
